"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"JariAla (DGF/USAID)","2-22-GI","2-22B-GI","moist","08.2007",-20.3866388887833,47.7141944440194,26.6,122.303039550781,127,144.76,151.34,1143,0.417635967334112,77,180,2607,1776
"JariAla (DGF/USAID)","2-22-GII","2-22B-GII","moist","08.2007",-20.4952777777778,47.5536111111111,73.3,103.485290527344,120,148.52,139.12,1258,0.435479978720347,58.3333333333333,174,2574,1655
"JariAla (DGF/USAID)","2-22-GI","2-22C-GI","moist","08.2007",-20.3858611112169,47.7146666664556,36.9,122.303039550781,127,144.76,131.6,1137,0.422213445107142,77,180,2607,1776
"JariAla (DGF/USAID)","2-22-GII","2-22C-GII","moist","08.2007",-20.4952777777778,47.5536111111111,62.1,103.485290527344,120,148.52,139.12,1258,0.435479978720347,58.3333333333333,174,2574,1655
"JariAla (DGF/USAID)","2-23-GI","2-23A-GI","moist","08.2007",-20.3866388887833,47.6954722224333,108.5,127.756256103516,118,126.43,133.95,1338,0.4036898513635,72,172,2594,1695
"JariAla (DGF/USAID)","2-23-GII","2-23A-GII","moist","08.2007",-20.4955555555556,47.5355555555556,85.6,135.723983764648,101,133.95,141.47,1316,0.389207452535629,66.6666666666667,172,2613,1623
"JariAla (DGF/USAID)","2-23-GIII","2-23A-GIII","moist","08.2007",-20.5025,47.5106944444444,30,90.9430313110352,84,96.82,125.02,1219,0.409120221932729,53.3333333333333,176,2581,1657
"JariAla (DGF/USAID)","2-23-GI","2-23B-GI","moist","08.2007",-20.3866388887833,47.6964444446556,47.9,127.756256103516,118,126.43,133.95,1339,0.4036898513635,75,172,2594,1695
"JariAla (DGF/USAID)","2-23-GII","2-23B-GII","moist","08.2007",-20.4955555555556,47.5355555555556,130.2,135.723983764648,101,133.95,141.47,1316,0.389207452535629,66.6666666666667,172,2613,1623
"JariAla (DGF/USAID)","2-23-GIII","2-23B-GIII","moist","08.2007",-20.5002499999933,47.5106944444444,45.7,90.9430313110352,84,96.82,125.02,1236,0.39763347307841,42.6666666666667,176,2581,1657
"JariAla (DGF/USAID)","2-23-GI","2-23C-GI","moist","08.2007",-20.3874166666139,47.69597,47.9,127.756256103516,115,126.43,137.24,1341,0.4036898513635,69.6666666666667,172,2594,1695
